case_id,case_type,case_status,opened_date,closed_date,primary_location_id,investigating_unit,summary
CASE01,theft,closed,2026-01-05,2026-02-10,LOC01,Sector 18 Investigation Unit,Investigators responded to a commercial property following reports of unauthorized removal of office equipment from a storage unit. Review of surrounding security footage indicates an unknown suspect gained access during evening hours and departed with multiple electronic items.
CASE02,fraud,open,2026-01-18,,LOC02,Economic Offences Wing,"Subject profile exhibits a sudden, unexplained divergence between reported operational revenue and actual banking inflows over a twelve-month period. Investigators are currently reviewing third-party vendor transactions to determine if the discrepancies stem from systemic accounting errors or intentional misrepresentation."
CASE03,missing_property,closed,2026-01-22,2026-03-01,LOC04,Riverside Investigation Unit,"The reporting party stated that a vintage mechanical timepiece was unaccounted for following a private gathering at the residence. Investigators noted no signs of forced entry, and the case remains open pending further inventory verification."
CASE04,vehicle_related,open,2026-02-02,,LOC05,Riverside Traffic Cell,Investigators are currently reviewing forensic evidence and dashcam footage following a multi-vehicle collision on Interstate 95 during adverse weather conditions. The inquiry focuses on determining whether mechanical failure or road hazards contributed to the loss of control.
CASE05,cyber_related,open,2026-02-10,,LOC07,Northside Cyber Cell,Subject: Unauthorized Access. The complainant reported a suspected credential harvesting campaign targeting corporate network credentials via spoofed authentication portals.
CASE06,financial_irregularity,under_review,2026-02-20,,LOC08,Economic Offences Wing,A series of anomalous wire transfers routed through an offshore subsidiary between March and May triggered automated compliance alerts for potential layering activities. Internal audit has initiated a preliminary review of related procurement documentation to determine whether transaction substantiation meets corporate governance standards.
CASE07,theft,closed,2026-03-01,2026-04-05,LOC10,Eastgate Investigation Unit,"Investigators responded to a commercial property following reports of unauthorized removal of office equipment from a storage unit. No forced entry was observed, and the case remains open pending review of local surveillance footage."
CASE08,vehicle_related,open,2026-03-10,,LOC11,Eastgate Traffic Cell,"Investigators are currently examining the wreckage of a late-model sedan recovered from a rural embankment following a reported late-night collision with a utility pole. The vehicle exhibits significant front-end damage, and forensic teams are analyzing skid marks at the scene to determine potential contributing factors."
CASE09,organized_activity,under_review,2026-03-15,,LOC13,Old Quarter Investigation Unit,Investigation into overlapping timestamps and identical transaction codes across disparate regional accounts revealed an unverified pattern of synchronized data access. No unauthorized breaches or definitive evidence of illicit intent have been established at this stage of the review.
CASE10,missing_property,closed,2026-03-25,2026-05-01,LOC14,Old Quarter Investigation Unit,"A formal report was filed regarding the disappearance of a high-value vintage timepiece from a private residential safe. Preliminary investigative findings indicate no signs of forced entry, and inquiries into recent visitor logs are currently underway."
CASE11,unidentified_incident,open,2026-04-01,,LOC16,Regional Coordination Cell,"Investigators responded to an anonymous report of unusual activity at the abandoned industrial complex on Route 9, noting signs of forced entry but no apparent property loss. Due to the lack of witnesses or physical evidence, the file remains classified pending further leads."
CASE12,organized_activity,under_review,2026-04-10,,LOC17,Regional Coordination Cell,"Review of distributed administrative logs indicates a series of synchronized data modifications occurring across independent terminal nodes at precisely 0300 hours. While no unauthorized access has been confirmed, the pattern suggests potential automated execution or external protocol testing."
CASE13,financial_irregularity,open,2026-04-20,,LOC18,Regional Coordination Cell,A routine audit of the regional logistics department identified a series of recurring disbursements to a newly registered vendor lacking standard procurement documentation. Compliance officers have flagged the transactions for further review to determine whether internal authorization protocols were bypassed.
